country,year,Government expenditure (% of GDP),Government revenue (% of GDP),Gross public debt (% of GDP),Interest on public debt (% of GDP),Primary balance (% of GDP),Primary expenditure (% of GDP),Real GDP growth rate (%),Real long-term bond yield (%)
Indonesia,2015,17.602161837744,14.878240284716,27.013303953882,1.3535072579845,-1.3704142950438,16.24865457976,4.8763223002212,2.6325991178847
Indonesia,2016,16.920493461859,14.359530286443,27.955460877893,1.4736757891848,-1.0872873862307,15.446817672674,5.0330691828018,4.4430689768435
Indonesia,2017,16.44362274639,14.179647057578,29.395537140701,1.5936039562303,-0.67037173258222,14.85001879016,5.0697859013492,2.5118556556914
Indonesia,2018,16.611101867299,14.921042437789,30.422723353629,1.7383669358806,0.048307506370509,14.872734931419,5.1742915395503,4.7337858036541
Indonesia,2019,16.35879139945,14.268167253694,30.563454692874,1.7402079886516,-0.35041615710432,14.618583410798,5.0192876804628,4.2409674338182
Indonesia,2020,18.426700381365,12.35184104965,39.747125572444,2.0338078002386,-4.041051531477,16.392892581127,-2.0655118293416,3.8545434483503
Indonesia,2021,18.123703681973,13.718851593715,41.14030738531,2.0233281111948,-2.381523977063,16.100375570778,3.7028856282775,4.8210974792879
Indonesia,2022,17.36132260655,15.170107576441,40.14136873897,1.9723250300174,-0.21889000009135,15.388997576532,5.3074193477576,2.8013567529571
Indonesia,2023,16.652771357036,15.039480993571,39.601240300051,2.1054665360308,0.49217617256532,14.547304821005,5.0481057706729,2.7675
Mexico,2005,21.155929105491,19.722058427041,36.840512983172,2.7027073853229,1.268836706873,18.453221720168,2.1132466163534,5.4294330185383
Mexico,2006,21.576567750338,20.350678961623,35.776544137644,2.5885324022177,1.3626436135031,18.98803534812,4.805015856214,4.7588675326557
Mexico,2007,22.521006436932,21.062675747678,35.529023140812,2.4799204921037,1.0215898028497,20.041085944828,2.0778621271995,3.8264808732731
Mexico,2008,26.501976452119,25.820675950474,40.604768679942,3.4183962745434,2.7370957728988,23.083580177575,0.94333239317526,3.1875189948622
Mexico,2009,26.516525110828,22.58119800155,41.66674758552,3.4156858532448,-0.51964125603261,23.100839257583,-6.2952505267723,2.6663945101223
Mexico,2010,26.482124915185,22.678321304363,40.155215619372,2.9776414368058,-0.82616217401593,23.504483478379,4.971334716188,2.9332716211661
Mexico,2011,26.622071775808,23.417944098221,41.16678077705,2.8076674356504,-0.39646024193694,23.814404340158,3.4440449591698,3.2604
Mexico,2012,26.999657482155,23.433699335958,40.814554004171,2.9522180332609,-0.61374011293579,24.047439448894,3.5532109416029,1.4868246122801
Mexico,2013,26.668510277414,23.109448342333,44.066478810668,2.914337779298,-0.64472415578243,23.754172498116,0.85210139517421,1.8711106026641
Mexico,2014,26.949416556816,22.578121514272,47.092789656158,2.9195871842476,-1.4517078582964,24.029829372568,2.5037634374002,1.9955456466044
Mexico,2015,26.557374742627,22.698584163421,50.972958413344,2.9171483266036,-0.94164225260226,23.640226416024,2.7023235204256,3.2706094108595
Mexico,2016,26.522520976859,23.841111996318,55.003310291127,3.2183449140823,0.53693593354141,23.304176062776,1.7724931803662,3.3720425949337
Mexico,2017,25.018180292492,23.98413208744,52.521184101527,3.9313675008637,2.8973192958111,21.086812791629,1.8717285674045,1.206878657315
